Component,Singles Gini points,Singles share (per cent),Couples Gini points,Couples share (per cent)
Preferences,0.019130,9.88,0.006423,4.85
Access,0.095181,49.16,0.010901,8.23
Earning opportunities,0.013079,6.76,0.047313,35.72
Access + earnings (market opportunities),0.108260,55.92,0.058215,43.95
Budget resources/needs,0.066206,34.20,0.067827,51.20
All non-preference circumstances,0.174466,90.12,0.126042,95.15
Resources suballocation,0.047204,24.38,Not available,Not available
Household composition and needs suballocation,0.019002,9.82,Not available,Not available
