group,uid,dwt,V_actual,Lambda,lt_home,lt_best_working,Delta_nats,share_nonwork_mass,W1_eur,W4_eur,W1_workingonly_eur,W6_eur,W1_closed_form_eur,W4_closed_form_eur
singles_male,100000000500,5537.005,5.4444157874149886,5.765464173046779,2.5540982767087677,2.5463325636470153,-3.2113658963380116,0.08795674066494016,1475.5793442215484,35502.30057203573,1571.4437025641844,39023.20930778918,1475.5793442215124,35502.30057203573
singles_male,100000002000,1180.758,4.3073371860902485,5.448721604612284,2.4113199420431304,2.4046822502034244,-3.0374016625691533,0.24387230907103427,646.7077548891739,13369.960944607488,794.8505703089211,14630.398602687977,646.7077548891273,13369.960944607488
singles_male,100000002200,4566.378,5.7928062100972175,6.178375100603634,2.5942547402024325,2.580797245722678,-3.5841203604012013,0.07170955823348686,1383.1408686458872,47984.50272481083,1445.9173638324996,52807.7794240331,1383.140868645925,47984.50272481083
singles_male,100000003800,3722.078,5.460912539421366,5.824283054465151,2.3756292470884612,2.3687752008951026,-3.4486538073766897,0.07572746988081679,1414.2770439174346,42958.952282690065,1499.0833473789548,46911.307639804945,1414.2770439174787,42958.952282690065
singles_male,100000009500,4165.44,5.498200466266165,5.8628125090194425,2.841464767706731,2.831874116911446,-3.0213477413127117,0.15232764446736732,1412.517416785328,28242.439479875058,1565.715589275048,31369.704669116505,1412.5174167854072,28242.439479875058
singles_male,100000011300,2754.703,5.046416593727936,5.096932821815792,2.273038485610403,2.254884968685509,-2.823894336205389,0.1318153494087299,1934.7236489862926,31661.955006956727,2183.8017733699035,34454.09955922057,1934.7236489863462,31661.955006956727
singles_male,100000016100,2564.804,5.196342866889547,5.218928815204854,2.3162994626813074,2.3051931324075268,-2.9026293525235465,0.11950591054423505,1989.5381383713016,35147.14188617894,2201.518365919005,38303.87161171266,1989.538138371401,35147.14188617894
singles_male,100000020100,6025.617,5.254580451281803,5.432846291057834,2.5424952379115133,2.528173600112732,-2.890351053146321,0.13919866769158748,1702.5106208749478,29816.781890838574,1897.7261457451584,32764.271537007462,1702.5106208749717,29816.781890838574
singles_male,100000021100,1179.578,6.252302175993429,6.569215813023027,3.2408643433535027,3.227180615028316,-3.3283514696695247,0.09955932052516259,1481.7079754584488,39967.538592414094,1585.3107191324816,45013.328047568095,1481.7079754585104,39967.538592414094
singles_male,100000025300,1415.318,5.228241789034127,5.472000358892669,2.451027838831863,2.4409884013373033,-3.020972520060806,0.15843476449691746,1594.4140959394972,31781.126383355146,1779.007001201218,34806.5198245826,1594.4140959395227,31781.126383355146
singles_male,100000025900,2435.22,4.985974528546314,5.3306508957378425,2.2351870750292315,2.2124595573974375,-3.095463820708611,0.17777857780898465,1441.0369124994277,30969.054946939603,1540.7303483338947,33654.446775956065,1441.0369124994397,30969.054946939603
singles_male,100000029500,5022.233,5.153008364849458,5.60186240948044,2.2458463158757485,2.238987257354975,-3.356016093604692,0.12163869405857844,1298.060141992437,36092.31037147689,1348.186255513221,39233.28560963612,1298.0601419924312,36092.31037147689
singles_male,100000030400,4115.816,6.996430519721831,6.90739782739871,3.740693964851831,3.724788302786365,-3.166703862546879,0.13413631436486279,2224.4130031387444,50739.138053962924,2379.772642852245,58140.19791257246,2224.4130031387585,50739.138053962924
singles_male,100000030500,1957.283,5.690127093520203,6.136512749491257,2.273038485610403,2.2625587098033986,-3.863474263880854,0.16895331528814,1301.2791535549143,59386.63466266583,1453.7766663381983,64597.745426104026,1301.2791535549193,59386.63466266583
singles_male,100000033700,2325.514,6.392917439324303,6.500380847335083,2.3756292470884612,2.3576600774623278,-4.124751600246622,0.09355949480698586,1827.5626554892406,106465.36421312005,1891.3825184261545,116190.38745073049,1827.562655489322,106465.36421312005
singles_male,100000034200,5117.897,5.90651338470509,6.111867813784403,2.5054277331481307,2.491761302342404,-3.606440080636272,0.047689793413701505,1656.9456885239779,58467.40405983116,1720.1358432142297,64131.18362975646,1656.9456885238883,58467.40405983116
singles_male,100000039100,5139.073,6.852143266895186,6.9554624101561915,3.332795863985043,3.3168550767631046,-3.6226665461711485,0.04801929146384907,1835.1583561275606,65608.69528036076,1908.1714937082784,74097.29226811542,1835.1583561274642,65608.69528036076
singles_male,100000048300,2716.421,6.73643865572735,6.693707632681391,3.332795863985044,3.306213165218281,-3.360911768696347,0.0976448870996355,2123.8160751745736,58613.33585949899,2256.1340773645643,66203.74215924193,2123.8160751744695,58613.33585949899
singles_male,100000048500,1164.232,5.641691254870682,5.898611888544056,2.2458463158757485,2.232577950151704,-3.6527655726683075,0.027034911352615012,1573.5264393057314,58169.45098019748,1602.9486001235828,63212.66700011525,1573.5264393058474,58169.45098019748
singles_male,100000052800,2305.08,6.2528196732045265,6.4308992804523895,3.152950024556024,3.1241601583647003,-3.2779492558963654,0.07498696123913871,1702.828142181081,43575.5964104177,1770.8001698876892,48921.141309856845,1702.8281421811007,43575.5964104177
