occurrence_id,surface,location,rendered,parsed_value,decimals,percent,context,family_hint,quantity_id,source,source_value,source_scale,tolerance,unit,weighting,status,note
story-00207,story,table-9:r11c2,2.0387,2.0387,4,False,Behavioural estimates | Coefficient | Singles | Couples | Consumption weight \(\beta_c\) | 2.0387 (0.2917) | 2.1017 (0.2939); display_column=Singles,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_singles_parameter_table_v1.csv:row=53:estimate,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_singles_parameter_table_v1.csv,2.038731824410903,1.0,5e-05,,,PASS,parsed signed value; |display-source|=3.18e-05 <= 5e-05
story-00208,story,table-9:r11c2,0.2917,0.2917,4,False,Behavioural estimates | Coefficient | Singles | Couples | Consumption weight \(\beta_c\) | 2.0387 (0.2917) | 2.1017 (0.2939); display_column=Singles,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_singles_parameter_table_v1.csv:row=53:se_robust_CR1,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_singles_parameter_table_v1.csv,0.29172947159759477,1.0,5e-05,,,PASS,parsed signed value; |display-source|=2.95e-05 <= 5e-05
story-00209,story,table-9:r11c3,2.1017,2.1017,4,False,Behavioural estimates | Coefficient | Singles | Couples | Consumption weight \(\beta_c\) | 2.0387 (0.2917) | 2.1017 (0.2939); display_column=Couples,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_couples_parameter_table_v1.csv:row=48:estimate,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_couples_parameter_table_v1.csv,2.101720268206207,1.0,5e-05,,,PASS,parsed signed value; |display-source|=2.03e-05 <= 5e-05
story-00210,story,table-9:r11c3,0.2939,0.2939,4,False,Behavioural estimates | Coefficient | Singles | Couples | Consumption weight \(\beta_c\) | 2.0387 (0.2917) | 2.1017 (0.2939); display_column=Couples,S11,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_couples_parameter_table_v1.csv:row=48:se_robust_CR1,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_couples_parameter_table_v1.csv,0.29387912594743354,1.0,5e-05,,,PASS,parsed signed value; |display-source|=2.09e-05 <= 5e-05
story-00211,story,table-12:r2c2,41,41.0,0,False,The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Latent jobs with household-specific opportunities | 41 | 6253.463 | – | 0.0129; display_column=Free coordinates,POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=270:simulated_p025,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.4106819078967987,100.0,0.5,,weighted,PASS,parsed signed value; |display-source|=0.0682 <= 0.5
story-00212,story,table-12:r2c3,6253.463,6253.463,3,False,The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Latent jobs with household-specific opportunities | 41 | 6253.463 | – | 0.0129; display_column=Criterion,POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/run_provenance.json:objectives.singles,MNL_posfit/outputs/positive_fit_diagnostics_v3/run_provenance.json,6253.463074379619,1.0,0.0005,,,PASS,parsed signed value; |display-source|=7.44e-05 <= 0.0005
story-00213,story,table-12:r2c5,0.0129,0.0129,4,False,The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Latent jobs with household-specific opportunities | 41 | 6253.463 | – | 0.0129; display_column=Population fit,POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=1018:simulated_p975,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.012903831386380162,1.0,5e-05,,unweighted,PASS,parsed signed value; |display-source|=3.83e-06 <= 5e-05
story-00214,story,table-12:r3c2,10,10.0,0,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark A: common opportunity distribution, preferences re-estimated | 10 | 6403.974 | +150.51 | 0.0270; display_column=Free coordinates",POSFIT,POSFIT:MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv:row=262:simulated_p975,MNL_posfit/outputs/positive_fit_diagnostics_v3/model_simulated_bands.csv,0.10006714407623625,100.0,0.5,,weighted,PASS,parsed signed value; |display-source|=0.00671 <= 0.5
story-00215,story,table-12:r3c3,6403.974,6403.974,3,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark A: common opportunity distribution, preferences re-estimated | 10 | 6403.974 | +150.51 | 0.0270; display_column=Criterion",POSFIT,S11:MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json:results.RUM-A.four_leg.barrier_profile[50].negll,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,6403.974284930585,1.0,0.0005,,,PASS,parsed signed value; |display-source|=0.000285 <= 0.0005
story-00216,story,table-12:r3c4,+150.51,150.51,2,False,"The full margin-by-margin comparison | Specification | Free coordinates | Criterion | Difference | Population fit | Benchmark A: common opportunity distribution, preferences re-estimated | 10 | 6403.974 | +150.51 | 0.0270; display_column=Difference",POSFIT,S11:RUM-A:criterion_difference_vs_SINGLES,MNL/experiments/JMP_SEMINAR_SPRINT/runs/s11_welfare_specs_of_record/s11_welfare_specs_of_record_v1.json,150.5112105509661,1.0,0.005,log-points,same S11 singles households,PASS,parsed signed value; |display-source|=0.00121 <= 0.005
